coverage,measure,scale,spearman
30.0,wip,0.1,0.9727298143345434
12.0,wip,0.01,0.9514619709204074
30.0,ip,0.1,0.8989809315242447
50.0,wip,0.01,0.8722855151874994
30.0,wip,0.001,0.8868979536839464
0.5,wip,0.01,0.7821197778441608
30.0,wip,0.05,0.8829988285710622
2.0,ip,0.01,0.8169414537418161
30.0,wip,0.01,0.861491525943666
30.0,wip,0.005,0.8424394318393145
30.0,wip,0.02,0.8521040889530405
30.0,ip,0.01,0.8519715196223651
15.0,ip,0.01,0.8793405295450736
0.5,ip,0.01,0.7614825580366543
8.0,ip,0.01,0.8687419584597179
30.0,ip,0.05,0.9178308908647043
1.0,ip,0.01,0.746455525286391
8.0,wip,0.01,0.8564153741926397
12.0,ip,0.01,0.8704849405428398
4.0,wip,0.01,0.8693355450336161
2.0,wip,0.01,0.8262488852166309
50.0,ip,0.01,0.8834503225208228
4.0,ip,0.01,0.8509575821097668
30.0,ip,0.001,0.7670640955793667
30.0,ip,0.02,0.8644174227987032
15.0,wip,0.01,0.8603326183951766
1.0,wip,0.01,0.7716252119126663
30.0,ip,0.005,0.851726388975609
30.0,wip,0.1,0.8641576045338398
12.0,wip,0.01,0.8640283252859886
30.0,ip,0.1,0.8561477210468077
50.0,wip,0.01,0.6782762636895058
30.0,wip,0.001,0.8314821381548887
0.5,wip,0.01,0.5330736033979507
30.0,wip,0.05,0.8427520021846238
2.0,ip,0.01,0.548295197730288
30.0,wip,0.01,0.7430733598713872
30.0,wip,0.005,0.8349057015235848
30.0,wip,0.02,0.8333708858635863
30.0,ip,0.01,0.7900900119540454
15.0,ip,0.01,0.5077733061790336
0.5,ip,0.01,0.5032120493037725
8.0,ip,0.01,0.6140775324708118
30.0,ip,0.05,0.8752155529717083
1.0,ip,0.01,0.31450951986802556
8.0,wip,0.01,0.6155312347168194
12.0,ip,0.01,0.6847802915491162
4.0,wip,0.01,0.573089259863307
2.0,wip,0.01,0.5914625767439071
50.0,ip,0.01,0.7039531488147527
4.0,ip,0.01,0.5471984376725868
30.0,ip,0.001,0.5517240415330038
30.0,ip,0.02,0.84759473251386
15.0,wip,0.01,0.5102939097840324
1.0,wip,0.01,0.33636757147356366
30.0,ip,0.005,0.8563835668579137
30.0,wip,0.1,0.8423588505262553
12.0,wip,0.01,0.677396076462771
30.0,ip,0.1,0.9255339193257348
50.0,wip,0.01,0.8975074025315324
30.0,wip,0.001,0.8891204830630423
0.5,wip,0.01,0.700960004887818
30.0,wip,0.05,0.8639840895919959
2.0,ip,0.01,0.75656667664826
30.0,wip,0.01,0.8864117903787603
30.0,wip,0.005,0.9143443248383712
30.0,wip,0.02,0.9019291336480959
30.0,ip,0.01,0.9037276747924721
15.0,ip,0.01,0.8722734553168587
0.5,ip,0.01,0.6738138035773791
8.0,ip,0.01,0.834308636070443
30.0,ip,0.05,0.8766140015092109
1.0,ip,0.01,0.7181950442322005
8.0,wip,0.01,0.8776543849970534
12.0,ip,0.01,0.8839041960327688
4.0,wip,0.01,0.7574463678484049
2.0,wip,0.01,0.802831705919312
50.0,ip,0.01,0.9117522332611812
4.0,ip,0.01,0.7385783352827466
30.0,ip,0.001,0.7146812481996198
30.0,ip,0.02,0.9273741148411463
15.0,wip,0.01,0.8771988394230974
1.0,wip,0.01,0.7597846277160905
30.0,ip,0.005,0.8784291086513438
30.0,wip,0.1,0.8933832102051448
12.0,wip,0.01,0.8878400288399217
30.0,ip,0.1,0.8520820836664734
50.0,wip,0.01,0.8576006697446494
30.0,wip,0.001,0.8201013886951403
0.5,wip,0.01,0.5086052738440463
30.0,wip,0.05,0.8814450135014544
2.0,ip,0.01,0.7322163045296918
30.0,wip,0.01,0.860379612675686
30.0,wip,0.005,0.8672322508820657
30.0,wip,0.02,0.8715438180346783
30.0,ip,0.01,0.8635083361466274
15.0,ip,0.01,0.8303219629688228
0.5,ip,0.01,0.4686790586211365
8.0,ip,0.01,0.7817218288777443
30.0,ip,0.05,0.9278397396336094
1.0,ip,0.01,0.5975334950072332
8.0,wip,0.01,0.8555930543945719
12.0,ip,0.01,0.8381624216073383
4.0,wip,0.01,0.8121580214479431
2.0,wip,0.01,0.7819250602810759
50.0,ip,0.01,0.83089123074418
4.0,ip,0.01,0.7091089874829885
30.0,ip,0.001,0.6402243884013764
30.0,ip,0.02,0.8712281683902768
15.0,wip,0.01,0.8612631961369835
1.0,wip,0.01,0.6706406797146766
30.0,ip,0.005,0.8619002671290158
30.0,wip,0.1,0.8817186994774479
12.0,wip,0.01,0.8613258509604811
