"tool"	"metric"	"proj"	"time_mean"	"time_sd"	"nread_mean"	"nread_sd"	"nkmer_mean"	"nkmer_sd"
"kwip"	"ip"	"chlamy"	126.53175115585327	NaN	2.028710373e8	2.3626969287626415e7	1.4423188485e8	1.399771664437757e7
"kwip"	"wip"	"chlamy"	193.6778998374939	NaN	2.028710373e8	2.3626969287626415e7	1.4423188485e8	1.399771664437757e7
"mash"	"mash"	"chlamy"	0.8302415934475985	0.6232017273025705	2.028710373e8	2.3626969287626415e7	1.4423188485e8	1.399771664437757e7
"kwip"	"ip"	"rice"	1892.5528064489365	286.01608151084156	9.682103842465753e6	1.472274355298496e6	1.791610604520548e8	1.4603596168958545e7
"kwip"	"wip"	"rice"	2241.098537731171	139.52076968509078	9.682103842465753e6	1.472274355298496e6	1.791610604520548e8	1.4603596168958545e7
